Module	 HV
1	-1465.5
2	-1478.19
3	-1423.41
4	-1406.57
5	-2200.85
6	-1584.2
7	-1648.41
8	-1697.51
9	-1435.03
10	-1408.18
11	-1384.85
12	-1499.36
13	-1406.22
14	-1475.66
15	-1442.11
16	-1400.65
17	-1819.96
18	-1592.58
19	-1789.14
20	-2059.02
21	-1361.58
22	-1448.15
23	-1555.66
24	-1623.88
25	-1400.82
26	-1574.03
27	-1457.89
28	-1402.5
29	-1880.68
30	-1610.52
31	-1846.16
32	-1944.66
33	-1439.4
34	-1428.1
35	-1543.32
36	-1401.26
37	-1431.46
38	-1467.41
39	-1414.24
40	-1446.43
41	-1503.49
42	-1540.59
43	-1561.55
44	-1669.06
45	-1388.2
46	-1422.25
47	-1439.53
48	-1425.39
49	-1429.55
50	-1484.93
51	-1546.15
52	-1438.8
53	-1472.26
54	-1555.02
55	-1665.45
56	-1701.2
57	-1422.69
58	-1436.49
59	-1420.85
60	-1480.72
61	-1428.11
62	-1459.72
63	-1477.92
64	-1412.8
65	-1772.5
66	-1531.96
67	-1479.72
68	-1706.56
69	-1402.65
70	-1432.15
71	-1464.09
72	-1446.35
73	-1781.4
74	-1546.09
75	-1524.07
76	-1517.83
77	-1862.46
78	-2318.36
79	-1564.07
80	-1761.62
81	-1379.94
82	-1414.8
83	-1423.34
84	-1628.51
85	-1387.34
86	-1462.11
87	-1447.24
88	-1406.61
89	-1570.34
90	-1486.55
91	-1482.76
92	-1585.34
93	-1395.23
94	-1429.07
95	-1465.4
96	-1587.36
97	-1438.93
98	-1434.6
99	-1514.22
100	-1407.15
101	-1727.73
102	-1530.64
103	-1726.09
104	-1757.16
105	-1374.4
106	-1386.71
107	-1427.69
108	-1461.61
109	-1617.51
110	-1510.97
111	-1440.44
112	-1411.79
113	-1432.82
114	-1421
115	-1537.61
116	-1539.65
117	-1351.77
118	-1464.13
119	-1425.36
120	-1413.47
121	-1399.14
122	-1425.17
123	-1454.05
124	-1447.22
125	-1362.37
126	-1505.85
127	-1517.83
128	-1441.58
129	-1367.91
130	-1353.15
131	-1482.85
132	-1544.74
133	-1447.22
134	-1376.16
135	-1476.55
136	-1477.37
137	-1634.62
138	-1611.03
139	-1553.39
140	-1672.57
141	-1419.22
142	-1414.45
143	-1449.51
144	-1425.2
145	-1638.85
146	-1538.37
147	-1527.81
148	-1471.95
149	-2339.42
150	-1822.71
151	-1874.48
152	-1747.25
153	-1406.16
154	-1437.65
155	-1502.72
156	-1500.25
157	-1440.23
158	-1469.97
159	-1491.39
160	-1409.67
161	-1492.52
162	-1995.08
163	-1504.48
164	-1735.86
165	-1447.2
166	-1459.12
167	-1478.18
168	-1494.82
169	-1512.64
170	-1488
171	-1421.49
172	-1453.43
173	-1755.33
174	-1523.74
175	-1784.14
176	-1737.49
177	-1444.03
178	-1603.87
179	-1463.85
180	-1474.23
181	-1403.3
182	-1534.15
183	-1440.42
184	-1474.81
185	-1573.94
186	-1640.75
187	-1561.3
188	-1622.8
189	-1479.63
190	-1486.79
191	-1491.61
192	-1430.69
193	-1446.82
194	-1437.32
195	-1436.59
196	-1478.03
197	-1906.31
198	-1507.54
199	-1737.93
200	-1934.31
201	-1392.52
202	-1494.71
203	-1445.64
204	-1610.92
205	-1448.32
206	-1558.72
207	-1472.12
208	-1516.37
209	-1566.03
210	-1428.28
211	-1435.54
212	-1754.29
213	-1370.31
214	-1436.51
215	-1428.97
216	-1527.96
217	-1399.78
218	-1538.85
219	-1434.23
220	-1461.49
221	-1447.15
222	-1692.3
223	-1506.89
224	-1540.73
225	-1343.05
226	-1434.46
227	-1452.06
228	-1436.98
229	-1414.04
230	-1419.58
231	-1418.82
232	-1459.3
233	-1592.84
234	-1614.46
235	-1623.54
236	-1983.41
237	-1415.97
238	-1426.56
239	-1417.95
240	-1524.41
241	-1500.5
242	-1505.85
243	-1781.37
244	-1490.84
245	-1836.94
246	-1385.55
247	-1853.88
248	-1907.98
249	-1410.13
250	-1445.19
251	-1469.71
252	-1428.56
253	-1499.25
254	-1492.42
255	-1391.92
256	-1388.28
257	-1580.33
258	-1335.16
259	-1451.21
260	-1589.6
261	-1391.49
262	-1404.95
263	-1446.31
264	-1355.27
265	-1527.89
266	-1470.47
267	-1411.4
268	-1375.4
269	-1631.57
270	-1334.52
271	-1785.5
272	-1785.34
273	-1358.63
274	-1393.02
275	-1445.26
276	-1401.63
277	-1431.24
278	-1485.11
279	-1435.2
280	-1437.96
281	-1555.21
282	-1416.65
283	-1674.74
284	-2260.92
285	-1410.74
286	-1410.7
287	-1413.1
288	-1494.58
